date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-04-30,2026-03-01,2026-04-30,district,A & N ISLAND,A & N ISLAND,NICOBAR,0.0,7.5,-100.0,NR,38.1,198.1,-81.0,LD,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,A & N ISLAND,A & N ISLAND,NORTH & MIDDLE ANDAMAN,0.3,6.1,-95.0,LD,2.2,69.2,-97.0,LD,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,A & N ISLAND,A & N ISLAND,SOUTH ANDAMAN,0.0,8.4,-100.0,NR,31.5,120.5,-74.0,LD,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,2.0,18.8,-89.0,LD,367.0,720.9,-49.0,D,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,5.8,9.3,-38.0,D,663.9,403.2,65.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,13.8,6.3,119.0,LE,291.8,261.8,11.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,28.5,11.1,156.0,LE,581.1,421.8,38.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,6.9,15.9,-57.0,D,585.9,689.6,-15.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,11.6,5.7,104.0,LE,303.5,233.1,30.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,6.5,9.6,-32.0,D,626.9,308.6,103.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,2.7,8.2,-67.0,LD,293.0,342.9,-15.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,2.5,11.1,-77.0,LD,583.7,390.2,50.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,6.6,13.4,-51.0,D,495.9,701.9,-29.0,D,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,8.8,7.4,18.0,N,232.6,303.7,-23.0,D,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,7.3,6.5,13.0,N,127.2,173.9,-27.0,D,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,15.4,8.3,85.0,LE,254.8,284.6,-10.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,BAJALI,12.0,9.2,30.0,E,295.0,273.0,8.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,5.9,12.7,-54.0,D,389.3,271.8,43.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,11.8,9.2,28.0,E,510.1,273.0,87.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,BISWANATH,9.4,11.9,-21.0,D,296.2,228.6,30.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,BONGAIGAON,14.3,12.0,19.0,N,611.1,291.3,110.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,CACHAR,1.8,13.9,-87.0,LD,637.7,468.8,36.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,CHARAIDEO,1.5,4.1,-63.0,LD,466.5,207.0,125.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,CHIRANG,20.0,9.5,111.0,LE,538.8,263.9,104.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,DARRANG,2.0,7.5,-73.0,LD,185.6,253.7,-27.0,D,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,DHEMAJI,42.8,3.7,1057.0,LE,739.0,242.2,205.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,DHUBRI,16.3,7.8,109.0,LE,651.2,243.0,168.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,DIBRUGARH,15.5,6.3,145.0,LE,316.5,314.2,1.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,DIMA HASAO,0.7,9.1,-93.0,LD,205.4,287.6,-29.0,D,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,GOALPARA,27.6,13.2,109.0,LE,502.1,268.5,87.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,GOLAGHAT,5.9,6.5,-10.0,N,309.8,208.1,49.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,HAILAKANDI,13.8,12.2,13.0,N,329.8,367.2,-10.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,HOJAI,2.6,4.1,-38.0,D,175.1,142.4,23.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,JORHAT,17.5,6.2,183.0,LE,245.8,237.6,3.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP (RURAL),19.6,8.2,139.0,LE,299.3,224.4,33.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP METRO.,7.6,8.8,-14.0,N,374.6,224.1,67.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,KARBI ANGLONG,0.0,5.0,-100.0,NR,178.6,169.7,5.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,KOKRAJHAR,18.2,6.4,184.0,LE,587.9,244.8,140.0,LE,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,LAKHIMPUR,23.9,9.6,149.0,LE,392.4,249.8,57.0,E,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,MORIGAON,7.8,4.9,60.0,LE,188.8,164.2,15.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,NAGAON,1.0,8.4,-88.0,LD,172.9,196.7,-12.0,N,2026-04-30 08:24:32.913430
2026-04-30,2026-03-01,2026-04-30,district,ASSAM & MEGHALAYA,ASSAM,NALBARI,9.5,11.5,-18.0,N,289.8,257.2,13.0,N,2026-04-30 08:24:32.913430
