date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-05-02,2026-03-01,2026-05-02,district,A & N ISLAND,A & N ISLAND,NICOBAR,0.0,5.0,-100.0,NR,38.1,209.7,-82.0,LD,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,A & N ISLAND,A & N ISLAND,NORTH & MIDDLE ANDAMAN,20.0,8.9,125.0,LE,22.2,85.7,-74.0,LD,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,A & N ISLAND,A & N ISLAND,SOUTH ANDAMAN,0.0,6.4,-100.0,NR,31.5,133.1,-76.0,LD,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,9.3,9.9,-7.0,N,383.3,740.3,-48.0,D,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,0.6,8.4,-93.0,LD,685.3,420.5,63.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,19.6,3.5,460.0,LE,322.2,268.0,20.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,2.9,9.1,-68.0,LD,591.9,442.8,34.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,7.2,6.8,6.0,N,601.6,707.4,-15.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.6,6.3,-90.0,LD,308.2,249.8,23.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,8.6,15.2,-44.0,D,650.4,331.9,96.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,1.0,9.3,-89.0,LD,304.1,358.2,-15.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,30.1,11.1,171.0,LE,650.8,409.2,59.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,40.6,14.0,190.0,LE,545.5,725.9,-25.0,D,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,2.3,4.2,-46.0,D,244.0,310.3,-21.0,D,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,16.4,7.3,124.0,LE,148.5,189.1,-21.0,D,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,1.0,6.3,-84.0,LD,265.3,302.7,-12.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,4.0,9.7,-59.0,D,398.0,292.6,36.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,0.5,9.8,-95.0,LD,527.4,291.9,81.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,BONGAIGAON,3.3,12.7,-74.0,LD,617.1,319.1,93.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,CACHAR,24.8,8.2,203.0,LE,663.2,491.0,35.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,CHARAIDEO,16.0,4.0,300.0,LE,485.5,219.5,121.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,CHIRANG,0.0,13.7,-100.0,NR,538.8,289.9,86.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,DARRANG,0.5,10.0,-95.0,LD,186.1,273.2,-32.0,D,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,DHEMAJI,5.2,7.7,-32.0,D,805.2,259.8,210.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,DHUBRI,21.8,11.9,83.0,LE,673.0,266.0,153.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,DIBRUGARH,6.3,9.8,-36.0,D,334.3,333.6,0.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,DIMA HASAO,5.5,6.6,-17.0,N,210.9,300.1,-30.0,D,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,GOALPARA,12.5,14.4,-13.0,N,514.7,293.4,75.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,GOLAGHAT,5.0,9.0,-45.0,D,315.8,222.3,42.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,HAILAKANDI,0.0,12.2,-100.0,NR,329.8,396.8,-17.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,HOJAI,0.0,5.3,-100.0,NR,175.1,149.6,17.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,JORHAT,17.3,8.8,96.0,LE,271.2,253.0,7.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP (RURAL),13.4,12.7,5.0,N,313.5,247.0,27.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP METRO.,4.7,10.1,-54.0,D,379.2,241.4,57.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,KARBI ANGLONG,0.0,5.2,-100.0,NR,178.6,178.9,0.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,KOKRAJHAR,6.4,13.7,-53.0,D,594.3,270.4,120.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,LAKHIMPUR,24.9,11.3,121.0,LE,451.4,271.0,67.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,MORIGAON,0.2,10.5,-98.0,LD,189.1,183.6,3.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,NAGAON,0.2,9.4,-98.0,LD,174.3,215.4,-19.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,NALBARI,0.1,14.2,-99.0,LD,294.7,284.1,4.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,SIBSAGAR,15.1,10.9,39.0,E,355.3,268.2,32.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,SONITPUR,5.5,9.4,-42.0,D,288.1,219.0,32.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,SRIBHUMI,31.0,13.0,138.0,LE,332.4,501.1,-34.0,D,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,TAMULPUR,10.8,10.9,-1.0,N,444.6,304.8,46.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,TINSUKIA,9.6,8.2,17.0,N,454.0,366.9,24.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,UDALGURI,24.8,8.9,179.0,LE,289.9,209.2,39.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,ASSAM,WEST KARBI ANGLONG,0.0,3.8,-100.0,NR,189.4,119.5,58.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,EAST GARO HILLS,17.8,15.1,18.0,N,589.7,349.2,69.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,EAST JAINTIA HILLS,8.2,11.1,-26.0,D,110.5,450.2,-75.0,LD,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,EAST KHASI HILLS,25.3,20.5,24.0,E,626.0,546.3,15.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,NORTH GARO HILLS,3.8,9.6,-60.0,LD,505.2,239.1,111.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,RI-BHOI,0.6,7.4,-92.0,LD,304.1,290.0,5.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,SOUTH GARO HILLS,3.5,9.6,-64.0,LD,508.1,239.1,112.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,WEST GARO HILLS,13.0,10.9,19.0,N,391.6,269.8,45.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,WEST JAINTIA HILLS,1.0,11.1,-91.0,LD,189.1,450.2,-58.0,D,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,ASSAM & MEGHALAYA,MEGHALAYA,WEST KHASI HILLS,12.5,16.0,-22.0,D,359.2,296.7,21.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,BIHAR,BIHAR,ARARIA,26.5,3.7,617.0,LE,188.8,57.6,228.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,BIHAR,BIHAR,ARWAL,0.0,0.5,-100.0,NR,7.4,7.7,-4.0,N,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,BIHAR,BIHAR,AURANGABAD,0.0,0.2,-100.0,NR,30.4,14.1,116.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,BIHAR,BIHAR,BANKA,14.6,0.3,4761.0,LE,87.0,25.5,241.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,BIHAR,BIHAR,BEGUSARAI,2.2,0.5,346.0,LE,74.6,28.8,159.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,BIHAR,BIHAR,BHABUA,0.0,0.3,-100.0,NR,24.1,14.4,67.0,LE,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,BIHAR,BIHAR,BHAGALPUR,5.9,1.4,322.0,LE,60.7,40.2,51.0,E,2026-05-02 07:46:55.549964
2026-05-02,2026-03-01,2026-05-02,district,BIHAR,BIHAR,BHOJPUR,0.0,0.1,-100.0,NR,26.3,12.0,119.0,LE,2026-05-02 07:46:55.549964
