date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-08-28,2026-06-01,2026-08-28,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NICOBAR,10.9,11.5,-6.0,N,456.7,765.7,-40.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,24.0,18.8,28.0,E,1925.2,1385.6,39.0,E,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,7.8,12.9,-40.0,D,989.4,1163.6,-15.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,8.5,-100.0,NR,139.6,1293.0,-89.0,LD,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,69.0,7.7,796.0,LE,939.1,1057.2,-11.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,0.0,10.8,-100.0,NR,1077.3,935.7,15.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,1.6,16.1,-90.0,LD,1860.7,2498.3,-26.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,1.5,9.2,-84.0,LD,792.5,1240.2,-36.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.0,3.9,-100.0,NR,354.9,591.1,-40.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,4.9,6.5,-25.0,D,302.0,769.5,-61.0,LD,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,15.0,16.6,-10.0,N,1624.0,1559.4,4.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,7.0,12.9,-46.0,D,936.8,1297.3,-28.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.3,4.1,-94.0,LD,277.3,733.0,-62.0,LD,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,4.0,10.8,-63.0,LD,403.3,1342.5,-70.0,LD,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,0.0,8.5,-100.0,NR,548.3,1559.3,-65.0,LD,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,BAJALI,0.5,11.1,-95.0,LD,973.5,1689.5,-42.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,5.8,9.1,-37.0,D,999.0,1231.4,-19.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,6.9,11.1,-38.0,D,1102.0,1689.5,-35.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,BONGAIGAON,0.0,4.8,-100.0,NR,789.6,1898.3,-58.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,CACHAR,21.2,11.7,82.0,LE,1391.8,1432.7,-3.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,CHARAIDEO,0.5,13.7,-96.0,LD,1085.5,806.3,35.0,E,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,CHIRANG,0.0,12.1,-100.0,NR,1087.9,1912.3,-43.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,DARRANG,11.4,7.8,46.0,E,599.9,1036.6,-42.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,DHEMAJI,0.0,8.3,-100.0,NR,1857.4,1613.6,15.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,DHUBRI,0.0,8.9,-100.0,NR,1066.2,1699.1,-37.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,DIBRUGARH,2.5,9.6,-74.0,LD,953.4,1167.7,-18.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,DIMA HASAO,0.0,6.7,-100.0,NR,383.4,813.9,-53.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,GOALPARA,1.9,16.8,-89.0,LD,692.6,1615.3,-57.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,GOLAGHAT,7.5,9.9,-24.0,D,730.1,817.7,-11.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,HAILAKANDI,1.2,7.2,-83.0,LD,992.9,1209.7,-18.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,HOJAI,0.0,7.7,-100.0,NR,354.2,590.7,-40.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,JORHAT,0.0,8.7,-100.0,NR,697.5,974.0,-28.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP METROPOLITAN,17.0,7.2,137.0,LE,672.0,842.4,-20.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP RURAL,0.6,10.6,-94.0,LD,477.4,1040.7,-54.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,KARBI ANGLONG,0.0,7.0,-100.0,NR,483.6,631.9,-23.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,KOKRAJHAR,0.0,14.2,-100.0,NR,1993.0,2174.8,-8.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,LAKHIMPUR,27.4,12.6,118.0,LE,1880.6,1603.9,17.0,N,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,MORIGAON,3.0,6.9,-57.0,D,551.6,885.1,-38.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,NAGAON,0.0,11.6,-100.0,NR,359.0,812.4,-56.0,D,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,NALBARI,2.1,14.1,-85.0,LD,505.6,1287.2,-61.0,LD,2026-08-28 18:18:01.474311
2026-08-28,2026-06-01,2026-08-28,district,ASSAM & MEGHALAYA,ASSAM,SIBSAGAR,0.0,8.2,-100.0,NR,666.8,937.4,-29.0,D,2026-08-28 18:18:01.474311
