date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-04-18,2026-03-01,2026-04-18,district,A & N ISLAND,A & N ISLAND,NICOBAR,0.0,3.8,-100.0,NR,29.6,131.2,-77.0,LD,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,A & N ISLAND,A & N ISLAND,NORTH & MIDDLE ANDAMAN,0.0,2.3,-100.0,NR,1.9,36.1,-95.0,LD,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,A & N ISLAND,A & N ISLAND,SOUTH ANDAMAN,0.0,1.7,-100.0,NR,31.5,64.6,-51.0,D,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,12.5,-100.0,NR,246.0,555.9,-56.0,D,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,0.0,11.3,-100.0,NR,619.1,294.7,110.0,LE,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,0.0,5.7,-100.0,NR,202.9,194.0,5.0,N,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,0.0,12.3,-100.0,NR,496.1,299.9,65.0,LE,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,0.0,16.7,-100.0,NR,442.0,532.1,-17.0,N,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.0,7.1,-100.0,NR,243.6,160.3,52.0,E,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,0.0,6.1,-100.0,NR,468.5,199.9,134.0,LE,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,13.5,13.4,1.0,N,259.3,233.5,11.0,N,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,0.0,6.8,-100.0,NR,507.7,273.5,86.0,LE,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,0.0,19.8,-100.0,NR,455.6,539.6,-16.0,N,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,6.1,-100.0,NR,179.1,224.5,-20.0,D,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,0.6,4.1,-85.0,LD,89.6,100.0,-10.0,N,2026-04-20 07:43:11.505595
2026-04-18,2026-03-01,2026-04-18,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,0.0,11.0,-100.0,NR,188.9,203.3,-7.0,N,2026-04-20 07:43:11.505595
