date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-08-04,2026-06-01,2026-08-04,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NICOBAR,35.7,6.4,457.0,LE,311.7,578.1,-46.0,D,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,17.6,11.9,48.0,E,1365.9,999.8,37.0,E,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,27.7,9.3,198.0,LE,715.9,864.5,-17.0,N,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,13.1,-100.0,NR,117.3,1002.5,-88.0,LD,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,0.0,10.2,-100.0,NR,676.9,815.1,-17.0,N,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,21.8,6.2,251.0,LE,944.7,735.2,28.0,E,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,1.0,21.4,-95.0,LD,1653.9,1985.4,-17.0,N,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,KURUNG KUMEY,16.8,4.3,291.0,LE,354.4,702.5,-50.0,D,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,6.9,11.2,-38.0,D,642.1,970.6,-34.0,D,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,38.1,5.4,606.0,LE,273.2,430.8,-37.0,D,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,28.8,17.9,61.0,LE,1158.2,1383.7,-16.0,N,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,11.1,2.5,342.0,LE,192.3,572.2,-66.0,LD,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,7.0,10.1,-31.0,D,1377.2,1219.1,13.0,N,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,12.7,3.9,226.0,LE,813.0,1029.4,-21.0,D,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,2.7,-100.0,NR,264.1,569.5,-54.0,D,2026-08-09 21:00:41.753119
2026-08-04,2026-06-01,2026-08-04,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,22.8,12.2,87.0,LE,305.1,1018.5,-70.0,LD,2026-08-09 21:00:41.753119
