date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-06-28,2026-06-01,2026-06-28,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,NICOBAR,33.8,7.2,369.0,LE,171.9,260.3,-34.0,D,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,31.3,11.7,168.0,LE,780.7,456.9,71.0,LE,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,14.2,13.0,9.0,N,535.4,405.2,32.0,E,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,ANAKAPALLI,0.0,2.5,-100.0,NR,121.7,123.7,-2.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,BAPATLA,0.7,3.4,-81.0,LD,78.5,82.0,-4.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,DR B R AMBEDKAR KONASEEMA,2.2,8.2,-73.0,LD,116.2,125.6,-7.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,EAST GODAVARI,22.5,5.5,309.0,LE,48.6,115.0,-58.0,D,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,ELURU,0.3,9.5,-97.0,LD,129.1,140.3,-8.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,GUNTUR,0.5,4.5,-89.0,LD,119.9,96.1,25.0,E,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,KAKINADA,5.9,5.0,18.0,N,99.0,124.9,-21.0,D,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,KRISHNA,5.1,9.0,-44.0,D,132.3,115.3,15.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,NTR DISTRICT,0.7,6.3,-90.0,LD,137.8,114.8,20.0,E,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,PALNADU,0.0,3.8,-100.0,NR,111.8,91.5,22.0,E,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,PARVATHIPURAM MANYAM,0.0,7.9,-100.0,NR,74.8,135.1,-45.0,D,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,PRAKASAM,3.3,1.5,117.0,LE,63.3,64.8,-2.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,SPSR NELLORE,5.9,1.8,225.0,LE,60.1,50.6,19.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,1.6,7.1,-77.0,LD,50.8,158.9,-68.0,LD,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,SRIKAKULAM,0.3,5.4,-94.0,LD,84.4,133.2,-37.0,D,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,VISHAKHAPATNAM,6.9,4.0,73.0,LE,102.6,118.9,-14.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,VIZIANAGARAM,0.0,6.6,-100.0,NR,122.9,130.0,-5.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ANDHRA PRADESH,ANDHRA PRADESH,WEST GODAVARI,0.2,6.6,-97.0,LD,68.3,114.9,-41.0,D,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,12.1,22.2,-45.0,D,32.0,355.2,-91.0,LD,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,17.0,11.8,44.0,E,183.3,305.4,-40.0,D,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,58.0,10.9,432.0,LE,537.7,309.8,74.0,LE,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,151.8,42.2,260.0,LE,738.1,733.2,1.0,N,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,28.5,18.7,52.0,E,287.3,406.7,-29.0,D,2026-06-28 08:53:54.358725
2026-06-28,2026-06-01,2026-06-28,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,1.5,6.4,-77.0,LD,86.3,168.4,-49.0,D,2026-06-28 08:53:54.358725
