date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-07-03,2026-06-01,2026-07-03,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,NICOBAR,0.0,7.0,-100.0,NR,199.7,300.9,-34.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,107.7,14.7,633.0,LE,1032.2,530.0,95.0,LE,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,0.6,8.6,-93.0,LD,574.7,460.9,25.0,E,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,ANAKAPALLI,1.1,5.7,-81.0,LD,128.1,147.2,-13.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,BAPATLA,0.2,3.4,-94.0,LD,83.1,100.4,-17.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,DR B R AMBEDKAR KONASEEMA,1.2,7.0,-83.0,LD,144.6,156.9,-8.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,EAST GODAVARI,18.7,4.8,290.0,LE,124.7,143.9,-13.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,ELURU,13.6,6.7,103.0,LE,164.9,171.0,-4.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,GUNTUR,12.4,4.4,182.0,LE,160.8,114.1,41.0,E,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,KAKINADA,7.9,5.1,55.0,E,147.3,151.7,-3.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,KRISHNA,4.5,5.4,-16.0,N,147.9,136.5,8.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,NTR DISTRICT,0.6,5.4,-89.0,LD,169.1,137.3,23.0,E,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,PALNADU,3.3,2.6,28.0,E,149.4,104.7,43.0,E,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,PARVATHIPURAM MANYAM,1.6,11.4,-86.0,LD,82.4,170.2,-52.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,PRAKASAM,1.0,3.0,-67.0,LD,67.6,75.0,-10.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,SPSR NELLORE,1.2,1.9,-38.0,D,69.1,60.5,14.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,13.5,6.2,117.0,LE,98.6,188.2,-48.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,SRIKAKULAM,5.8,7.8,-26.0,D,91.1,162.9,-44.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,VISHAKHAPATNAM,0.6,4.1,-86.0,LD,107.8,138.4,-22.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,VIZIANAGARAM,0.7,6.8,-90.0,LD,127.1,158.4,-20.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ANDHRA PRADESH,ANDHRA PRADESH,WEST GODAVARI,2.2,4.2,-48.0,D,71.6,141.0,-49.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,17.5,-100.0,NR,23.2,442.7,-95.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,11.0,13.7,-20.0,D,210.4,376.9,-44.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,3.6,8.2,-56.0,D,585.9,370.2,58.0,E,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,0.0,39.1,-100.0,NR,961.0,911.3,5.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,KURUNG KUMEY,8.5,9.5,-11.0,N,165.8,276.5,-40.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,2.6,16.8,-85.0,LD,292.7,484.3,-40.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.2,4.9,-97.0,LD,117.0,197.5,-41.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,18.3,36.4,-50.0,D,566.0,746.8,-24.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,0.0,10.5,-100.0,NR,51.1,236.0,-78.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,17.0,23.0,-26.0,D,762.7,591.3,29.0,E,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,3.5,16.7,-79.0,LD,375.3,567.5,-34.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,8.2,-100.0,NR,148.2,307.8,-52.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,5.7,15.7,-64.0,LD,114.9,503.9,-77.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,0.0,26.8,-100.0,NR,276.3,579.9,-52.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,BAJALI,6.0,17.6,-66.0,LD,367.0,727.2,-50.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,BAKSA,1.5,12.2,-88.0,LD,598.6,550.3,9.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,BARPETA,0.0,17.6,-100.0,NR,387.7,727.2,-47.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,BONGAIGAON,0.5,25.9,-98.0,LD,383.8,827.0,-54.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,CACHAR,27.6,18.3,51.0,E,513.3,574.7,-11.0,N,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,CHARAIDEO,0.0,10.3,-100.0,NR,341.0,277.2,23.0,E,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,DARRANG,10.5,12.5,-16.0,N,97.3,468.6,-79.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,DHUBRI,0.0,18.6,-100.0,NR,526.4,719.2,-27.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,DIBRUGARH,20.8,17.5,19.0,N,332.9,420.9,-21.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,DIMA HASAO,1.3,9.1,-85.0,LD,146.3,377.7,-61.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,GOALPARA,0.8,23.8,-96.0,LD,216.7,676.8,-68.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,GOLAGHAT,17.4,7.7,126.0,LE,175.0,291.4,-40.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,HAILAKANDI,16.8,14.6,15.0,N,241.8,492.9,-51.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,HOJAI,17.6,4.6,282.0,LE,117.4,223.0,-47.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,JORHAT,0.9,14.3,-94.0,LD,181.9,338.0,-46.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,KAMRUP METROPOLITAN,4.3,11.2,-62.0,LD,102.6,341.4,-70.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,KAMRUP RURAL,0.3,15.4,-98.0,LD,106.7,439.4,-76.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,KARBI ANGLONG,5.4,6.4,-16.0,N,87.9,231.4,-62.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,LAKHIMPUR,5.0,26.8,-81.0,LD,754.3,596.4,26.0,E,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,MORIGAON,1.3,8.3,-85.0,LD,89.8,322.0,-72.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,NAGAON,0.3,8.1,-96.0,LD,57.9,290.3,-80.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,NALBARI,0.5,20.7,-98.0,LD,167.3,540.0,-69.0,LD,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,SIBSAGAR,10.6,13.7,-23.0,D,180.8,327.2,-45.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,SONITPUR,13.0,14.4,-10.0,N,144.2,355.1,-59.0,D,2026-07-04 08:38:29.485205
2026-07-03,2026-06-01,2026-07-03,district,ASSAM,ASSAM,SRIBHUMI,4.8,25.1,-81.0,LD,346.7,711.4,-51.0,D,2026-07-04 08:38:29.485205
