date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-04-17,2026-03-01,2026-04-17,district,A & N ISLAND,A & N ISLAND,NICOBAR,0.0,4.5,-100.0,NR,29.6,127.4,-77.0,LD,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,A & N ISLAND,A & N ISLAND,NORTH & MIDDLE ANDAMAN,0.0,1.3,-100.0,NR,1.9,33.8,-94.0,LD,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,A & N ISLAND,A & N ISLAND,SOUTH ANDAMAN,0.0,0.9,-100.0,NR,31.5,62.9,-50.0,D,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,11.0,-100.0,NR,246.0,543.4,-55.0,D,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,0.0,12.1,-100.0,NR,619.1,283.4,118.0,LE,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,DIBANG VALLEY,4.0,8.1,-51.0,D,77.5,575.3,-87.0,LD,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,0.0,3.8,-100.0,NR,202.9,188.3,8.0,N,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,0.0,7.7,-100.0,NR,496.1,287.6,72.0,LE,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,0.0,10.6,-100.0,NR,442.0,515.4,-14.0,N,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.0,5.4,-100.0,NR,243.6,153.2,59.0,E,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,0.0,6.4,-100.0,NR,468.5,193.8,142.0,LE,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,3.2,11.8,-73.0,LD,245.8,220.1,12.0,N,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,0.0,7.1,-100.0,NR,507.7,266.7,90.0,LE,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,0.3,12.6,-98.0,LD,455.6,519.8,-12.0,N,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,3.5,-100.0,NR,179.1,218.4,-18.0,N,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,0.3,4.6,-93.0,LD,89.0,95.9,-7.0,N,2026-04-20 07:43:09.862148
2026-04-17,2026-03-01,2026-04-17,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,0.2,7.9,-98.0,LD,188.9,192.3,-2.0,N,2026-04-20 07:43:09.862148
