date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-05-01,2026-03-01,2026-05-01,district,A & N ISLAND,A & N ISLAND,NICOBAR,0.0,6.6,-100.0,NR,38.1,204.7,-81.0,LD,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,A & N ISLAND,A & N ISLAND,NORTH & MIDDLE ANDAMAN,0.0,7.6,-100.0,NR,2.2,76.8,-97.0,LD,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,A & N ISLAND,A & N ISLAND,SOUTH ANDAMAN,0.0,6.2,-100.0,NR,31.5,126.7,-75.0,LD,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,7.0,9.5,-26.0,D,374.0,730.4,-49.0,D,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,20.8,8.9,134.0,LE,684.7,412.1,66.0,LE,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,10.8,2.7,300.0,LE,302.6,264.5,14.0,N,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,7.9,11.9,-34.0,D,589.0,433.7,36.0,E,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,8.5,11.0,-23.0,D,594.4,700.6,-15.0,N,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,4.1,10.4,-61.0,LD,307.6,243.5,26.0,E,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,15.0,8.1,85.0,LE,641.8,316.7,103.0,LE,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,10.0,6.0,67.0,LE,303.1,348.9,-13.0,N,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,37.0,7.9,368.0,LE,620.7,398.1,56.0,E,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,9.0,10.0,-10.0,N,504.9,711.9,-29.0,D,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,9.1,2.4,279.0,LE,241.7,306.1,-21.0,D,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,4.9,7.9,-38.0,D,132.1,181.8,-27.0,D,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,9.5,11.8,-19.0,N,264.3,296.4,-11.0,N,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ASSAM & MEGHALAYA,ASSAM,BAJALI,22.0,9.1,142.0,LE,317.0,282.1,12.0,N,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,9.5,11.1,-14.0,N,398.8,282.9,41.0,E,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,16.8,9.1,84.0,LE,526.9,282.1,87.0,LE,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ASSAM & MEGHALAYA,ASSAM,BONGAIGAON,2.8,15.1,-82.0,LD,613.8,306.4,100.0,LE,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ASSAM & MEGHALAYA,ASSAM,CACHAR,0.1,14.0,-99.0,LD,637.8,482.8,32.0,E,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ASSAM & MEGHALAYA,ASSAM,CHARAIDEO,3.0,8.5,-65.0,LD,469.5,215.5,118.0,LE,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ASSAM & MEGHALAYA,ASSAM,CHIRANG,0.0,12.3,-100.0,NR,538.8,276.2,95.0,LE,2026-05-01 08:13:28.317384
2026-05-01,2026-03-01,2026-05-01,district,ASSAM & MEGHALAYA,ASSAM,DARRANG,0.0,9.5,-100.0,NR,185.6,263.2,-30.0,D,2026-05-01 08:13:28.317384
