date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-08-20,2026-06-01,2026-08-20,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NICOBAR,0.5,9.4,-94.0,LD,432.3,696.3,-38.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,49.7,14.4,245.0,LE,1631.7,1243.8,31.0,E,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,9.0,10.9,-17.0,N,894.9,1058.8,-15.0,N,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,9.2,-100.0,NR,124.2,1188.8,-90.0,LD,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,95.0,11.1,755.0,LE,852.1,973.8,-13.0,N,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,0.0,10.7,-100.0,NR,1048.9,861.7,22.0,E,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,66.8,17.9,273.0,LE,1815.3,2306.5,-21.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,KURUNG KUMEY,3.7,6.6,-44.0,D,433.6,827.6,-48.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,15.1,6.5,132.0,LE,738.1,1153.0,-36.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.2,9.1,-98.0,LD,339.0,550.9,-38.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,0.6,12.2,-95.0,LD,1338.6,1593.3,-16.0,N,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,0.0,13.4,-100.0,NR,270.2,712.2,-62.0,LD,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,5.3,13.8,-62.0,LD,1574.8,1432.7,10.0,N,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,17.0,14.2,20.0,E,895.8,1177.7,-24.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,4.6,6.0,-23.0,D,273.7,671.1,-59.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,5.3,16.6,-68.0,LD,372.8,1239.4,-70.0,LD,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,0.0,16.6,-100.0,NR,521.3,1448.9,-64.0,LD,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ASSAM & MEGHALAYA,ASSAM,BAJALI,0.0,14.3,-100.0,NR,891.0,1571.4,-43.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,3.3,8.9,-63.0,LD,937.0,1148.5,-18.0,N,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,0.0,14.3,-100.0,NR,1076.1,1571.4,-32.0,D,2026-08-21 06:48:34.134914
2026-08-20,2026-06-01,2026-08-20,district,ASSAM & MEGHALAYA,ASSAM,BONGAIGAON,0.0,28.8,-100.0,NR,774.7,1780.3,-56.0,D,2026-08-21 06:48:34.134914
