date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-09-21,2026-06-01,2026-09-21,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NICOBAR,31.8,12.1,163.0,LE,673.1,1010.3,-33.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,18.0,17.0,6.0,N,2454.2,1783.7,38.0,E,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,9.5,14.2,-33.0,D,1308.1,1517.1,-14.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,5.3,-100.0,NR,173.0,1511.3,-89.0,LD,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,2.6,8.9,-71.0,LD,1023.0,1273.4,-20.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,0.0,7.3,-100.0,NR,1401.5,1163.8,20.0,E,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,7.7,14.7,-47.0,D,2038.0,3011.3,-32.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,KURUNG KUMEY,0.0,6.6,-100.0,NR,613.7,1155.4,-47.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,14.7,9.3,58.0,E,904.7,1489.9,-39.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.0,8.2,-100.0,NR,407.3,711.1,-43.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,1.2,21.2,-94.0,LD,1719.6,2076.9,-17.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,4.4,5.9,-25.0,D,333.7,941.9,-65.0,LD,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,22.5,8.8,156.0,LE,1863.5,1860.0,0.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,4.9,16.8,-71.0,LD,1195.9,1658.4,-28.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,12.0,-100.0,NR,347.3,907.5,-62.0,LD,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,0.0,9.9,-100.0,NR,521.0,1612.3,-68.0,LD,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,0.0,21.1,-100.0,NR,613.3,1907.5,-68.0,LD,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,BAJALI,0.0,20.5,-100.0,NR,1053.0,2021.0,-48.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,5.1,8.0,-36.0,D,1135.7,1461.7,-22.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,0.0,20.5,-100.0,NR,1233.5,2021.0,-39.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,BONGAIGAON,0.0,27.6,-100.0,NR,922.1,2262.4,-59.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,CACHAR,1.6,6.4,-75.0,LD,1603.4,1738.8,-8.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,CHARAIDEO,0.0,7.1,-100.0,NR,1191.0,990.7,20.0,E,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,CHIRANG,0.0,17.9,-100.0,NR,1358.2,2296.0,-41.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,DARRANG,1.0,5.1,-80.0,LD,691.7,1231.6,-44.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,DHEMAJI,1.8,16.0,-89.0,LD,2039.2,2010.0,1.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,DHUBRI,0.0,11.7,-100.0,NR,1273.3,1968.7,-35.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,DIBRUGARH,8.9,8.3,7.0,N,1103.5,1424.1,-23.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,DIMA HASAO,1.0,2.4,-58.0,D,555.0,970.5,-43.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,GOALPARA,0.0,7.4,-100.0,NR,999.6,1938.7,-48.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,GOLAGHAT,0.0,7.9,-100.0,NR,897.8,1005.7,-11.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,HAILAKANDI,0.0,7.7,-100.0,NR,1300.9,1435.7,-9.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,HOJAI,1.0,4.4,-78.0,LD,443.6,722.2,-39.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,JORHAT,0.0,11.0,-100.0,NR,808.7,1213.3,-33.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP METROPOLITAN,2.1,4.6,-55.0,D,782.0,1003.6,-22.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP RURAL,0.2,5.6,-96.0,LD,638.5,1216.4,-48.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,KARBI ANGLONG,3.0,5.8,-48.0,D,650.2,782.7,-17.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,KOKRAJHAR,0.0,14.6,-100.0,NR,2260.0,2533.0,-11.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,LAKHIMPUR,2.4,12.1,-80.0,LD,2170.2,1938.6,12.0,N,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,MORIGAON,1.0,6.0,-83.0,LD,626.3,1063.6,-41.0,D,2026-09-21 12:12:36.364996
2026-09-21,2026-06-01,2026-09-21,district,ASSAM & MEGHALAYA,ASSAM,NAGAON,3.4,5.7,-40.0,D,585.5,975.9,-40.0,D,2026-09-21 12:12:36.364996
