date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-08-08,2026-06-01,2026-08-08,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NICOBAR,17.3,10.3,68.0,LE,394.1,612.2,-36.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,18.8,16.4,15.0,N,1469.6,1067.0,38.0,E,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,20.5,12.0,71.0,LE,803.7,912.8,-12.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,16.4,-100.0,NR,120.4,1046.2,-88.0,LD,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,21.3,8.6,147.0,LE,706.1,849.6,-17.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,1.5,8.3,-82.0,LD,984.9,764.9,29.0,E,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,1.3,14.4,-91.0,LD,1658.0,2046.4,-19.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,KURUNG KUMEY,2.2,13.4,-84.0,LD,370.6,726.8,-49.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,2.2,7.5,-71.0,LD,659.7,1011.9,-35.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,2.1,6.5,-67.0,LD,283.2,470.4,-40.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,7.6,9.0,-16.0,N,1251.9,1445.8,-13.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,0.0,7.7,-100.0,NR,211.0,598.2,-65.0,LD,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,0.0,9.7,-100.0,NR,1381.7,1264.6,9.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,17.9,11.4,57.0,E,835.2,1049.6,-20.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,2.2,2.9,-24.0,D,266.3,589.9,-55.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,2.3,12.4,-81.0,LD,329.9,1068.6,-69.0,LD,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,4.7,5.5,-14.0,N,483.1,1282.7,-62.0,LD,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,BAJALI,8.5,9.1,-7.0,N,874.0,1416.6,-38.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,15.6,5.3,193.0,LE,899.5,1036.9,-13.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,8.8,9.1,-4.0,N,1034.3,1416.6,-27.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,CACHAR,1.1,16.2,-93.0,LD,1119.0,1142.3,-2.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,CHARAIDEO,13.0,12.5,4.0,N,842.0,600.7,40.0,E,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,DARRANG,20.0,6.1,228.0,LE,497.1,846.0,-41.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,DHEMAJI,0.0,8.1,-100.0,NR,1475.1,1281.7,15.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,DHUBRI,0.0,9.0,-100.0,NR,998.1,1399.3,-29.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,DIBRUGARH,3.3,10.7,-69.0,LD,807.2,928.7,-13.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,DIMA HASAO,3.1,10.2,-70.0,LD,293.3,695.7,-58.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,GOALPARA,2.2,8.5,-74.0,LD,579.3,1313.3,-56.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,GOLAGHAT,14.5,9.7,49.0,E,591.9,638.7,-7.0,N,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,HAILAKANDI,12.3,13.1,-6.0,N,732.9,964.9,-24.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,HOJAI,5.9,6.9,-15.0,N,251.4,460.4,-45.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,JORHAT,14.6,15.0,-2.0,N,596.9,762.6,-22.0,D,2026-08-09 21:00:54.131800
2026-08-08,2026-06-01,2026-08-08,district,ASSAM & MEGHALAYA,ASSAM,KAMRUP METROPOLITAN,2.5,3.5,-29.0,D,551.2,683.3,-19.0,N,2026-08-09 21:00:54.131800
