date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-06-03,2026-06-01,2026-06-03,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,NICOBAR,9.0,12.7,-29.0,D,31.9,30.7,4.0,N,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,75.8,10.9,595.0,LE,75.8,42.5,78.0,LE,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,43.4,13.4,224.0,LE,88.1,40.5,117.0,LE,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,ANAKAPALLI,2.4,2.4,-2.0,N,5.9,7.7,-23.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,BAPATLA,0.0,1.2,-100.0,NR,0.3,5.1,-94.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,DR B R AMBEDKAR KONASEEMA,0.0,1.6,-100.0,NR,6.2,4.3,44.0,E,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,ELURU,8.3,2.3,262.0,LE,10.6,6.2,72.0,LE,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,GUNTUR,0.4,2.4,-85.0,LD,9.2,6.6,39.0,E,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,KAKINADA,4.2,2.3,83.0,LE,6.1,8.2,-26.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,KRISHNA,0.0,1.7,-100.0,NR,0.0,5.6,-100.0,NR,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,NTR DISTRICT,0.0,1.7,-100.0,NR,0.5,5.5,-91.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,PALNADU,0.0,1.8,-100.0,NR,0.0,6.0,-100.0,NR,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,PARVATHIPURAM MANYAM,0.0,3.9,-100.0,NR,1.4,11.3,-88.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,PRAKASAM,1.6,1.4,16.0,N,3.4,5.0,-32.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,SPSR NELLORE,1.6,1.6,-2.0,N,3.8,4.0,-4.0,N,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,0.8,4.0,-80.0,LD,6.3,10.1,-38.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,SRIKAKULAM,0.0,2.3,-100.0,NR,0.0,4.3,-100.0,NR,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,VISHAKHAPATNAM,16.2,0.7,2219.0,LE,16.8,4.9,244.0,LE,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,VIZIANAGARAM,2.9,2.3,25.0,E,3.2,7.6,-57.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ANDHRA PRADESH,ANDHRA PRADESH,WEST GODAVARI,0.0,2.3,-100.0,NR,0.5,5.0,-90.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,7.2,-100.0,NR,0.0,23.3,-100.0,NR,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,0.0,5.9,-100.0,NR,6.2,22.5,-72.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,10.6,10.7,-1.0,N,10.6,21.5,-51.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,17.0,14.7,16.0,N,17.0,53.4,-68.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,2.4,9.0,-73.0,LD,2.4,26.4,-91.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,6.5,6.1,7.0,N,6.5,20.5,-68.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,27.0,20.0,35.0,E,45.5,59.9,-24.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,1.3,8.3,-85.0,LD,2.8,18.6,-85.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,0.0,14.6,-100.0,NR,16.0,40.4,-60.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,27.4,13.3,106.0,LE,33.4,51.3,-35.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,5.6,-100.0,NR,0.0,25.3,-100.0,NR,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,4.1,6.0,-32.0,D,6.2,23.2,-73.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,6.0,7.2,-17.0,N,6.0,27.2,-78.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,BAJALI,1.0,13.9,-93.0,LD,1.0,47.1,-98.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,BAKSA,5.0,14.3,-65.0,LD,5.0,39.0,-87.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,BARPETA,6.3,13.9,-55.0,D,6.3,47.1,-87.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,BONGAIGAON,11.4,9.7,18.0,N,11.4,43.8,-74.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,CACHAR,19.5,16.6,18.0,N,54.2,53.1,2.0,N,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,CHARAIDEO,0.0,6.4,-100.0,NR,34.5,12.6,174.0,LE,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,CHIRANG,4.0,17.5,-77.0,LD,4.0,51.6,-92.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,DARRANG,3.9,12.7,-69.0,LD,3.9,36.3,-89.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,DHEMAJI,13.3,17.0,-22.0,D,13.8,37.5,-63.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,DHUBRI,14.9,18.1,-17.0,N,14.9,55.0,-73.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,DIBRUGARH,5.8,9.4,-38.0,D,14.3,30.1,-53.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,DIMA HASAO,0.3,9.6,-97.0,LD,6.3,32.9,-81.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,GOALPARA,2.4,13.8,-83.0,LD,4.0,48.7,-92.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,GOLAGHAT,0.0,8.8,-100.0,NR,3.8,23.1,-83.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,HAILAKANDI,10.1,11.6,-13.0,N,17.8,47.0,-62.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,HOJAI,0.9,4.9,-83.0,LD,3.6,17.3,-79.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,JORHAT,0.0,10.3,-100.0,NR,1.0,24.7,-96.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,KAMRUP METROPOLITAN,1.9,4.7,-59.0,D,1.9,18.5,-90.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,KAMRUP RURAL,1.0,10.6,-90.0,LD,1.0,31.7,-97.0,LD,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,KARBI ANGLONG,3.3,4.8,-32.0,D,6.8,11.8,-43.0,D,2026-06-14 06:29:35.017285
2026-06-03,2026-06-01,2026-06-03,district,ASSAM,ASSAM,KOKRAJHAR,64.6,16.3,296.0,LE,64.6,63.2,2.0,N,2026-06-14 06:29:35.017285
