date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-08-14,2026-06-01,2026-08-14,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NICOBAR,0.0,6.6,-100.0,NR,414.2,653.9,-37.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,7.3,10.9,-33.0,D,1534.1,1164.7,32.0,E,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2.1,10.9,-80.0,LD,857.1,989.8,-13.0,N,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,10.9,-100.0,NR,124.2,1104.4,-89.0,LD,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,11.5,12.6,-9.0,N,724.5,911.3,-20.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,4.6,6.5,-30.0,D,1009.3,819.2,23.0,E,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,0.0,24.2,-100.0,NR,1695.0,2169.1,-22.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,KURUNG KUMEY,0.0,7.2,-100.0,NR,418.3,781.2,-46.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,23.0,14.8,55.0,E,695.4,1078.6,-36.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.7,6.2,-89.0,LD,301.7,504.1,-40.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,0.0,14.2,-100.0,NR,1266.3,1522.5,-17.0,N,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,0.0,7.9,-100.0,NR,259.2,652.5,-60.0,LD,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,30.0,16.2,85.0,LE,1533.7,1347.7,14.0,N,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,0.0,5.5,-100.0,NR,838.2,1106.9,-24.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,4.3,-100.0,NR,269.1,624.1,-57.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST KAMENG,4.5,14.2,-68.0,LD,350.9,1157.1,-70.0,LD,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,WEST SIANG,0.0,13.6,-100.0,NR,485.4,1352.8,-64.0,LD,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ASSAM & MEGHALAYA,ASSAM,BAJALI,0.0,14.7,-100.0,NR,879.5,1486.7,-41.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ASSAM & MEGHALAYA,ASSAM,BAKSA,0.0,14.4,-100.0,NR,903.1,1094.2,-17.0,N,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ASSAM & MEGHALAYA,ASSAM,BARPETA,3.2,14.7,-78.0,LD,1058.4,1486.7,-29.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ASSAM & MEGHALAYA,ASSAM,BONGAIGAON,5.3,18.7,-72.0,LD,732.0,1662.4,-56.0,D,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ASSAM & MEGHALAYA,ASSAM,CACHAR,21.2,14.5,47.0,E,1190.8,1228.8,-3.0,N,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ASSAM & MEGHALAYA,ASSAM,CHARAIDEO,26.0,14.4,81.0,LE,875.0,670.1,31.0,E,2026-08-15 06:39:01.107256
2026-08-14,2026-06-01,2026-08-14,district,ASSAM & MEGHALAYA,ASSAM,CHIRANG,1.6,30.6,-95.0,LD,1036.1,1646.8,-37.0,D,2026-08-15 06:39:01.107256
