date,period_start,period_end,level,subdivision,state,district,day_actual_mm,day_normal_mm,day_departure_pct,day_category,period_actual_mm,period_normal_mm,period_departure_pct,period_category,scraped_at
2026-08-21,2026-06-01,2026-08-21,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NICOBAR,2.4,9.9,-76.0,LD,434.7,706.2,-38.0,D,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,68.1,12.8,432.0,LE,1699.8,1256.6,35.0,E,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,A & N ISLAND,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,7.4,13.4,-45.0,D,902.3,1072.2,-16.0,N,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,ANJAW,0.0,13.7,-100.0,NR,124.2,1202.5,-90.0,LD,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,CHANGLANG,0.3,9.7,-97.0,LD,852.4,983.5,-13.0,N,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST KAMENG,0.0,8.6,-100.0,NR,1048.9,870.3,21.0,E,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,EAST SIANG,0.0,25.4,-100.0,NR,1815.3,2331.9,-22.0,D,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,KURUNG KUMEY,5.3,5.9,-10.0,N,438.9,833.5,-47.0,D,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOHIT,0.1,11.4,-99.0,LD,738.2,1164.4,-37.0,D,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,LOWER SUBANSIRI,9.2,3.5,162.0,LE,348.1,554.4,-37.0,D,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,PAPUMPARA,0.0,13.0,-100.0,NR,1338.6,1606.3,-17.0,N,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TAWANG,4.9,11.3,-57.0,D,275.1,723.5,-62.0,LD,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,TIRAP,0.5,15.9,-97.0,LD,1575.3,1448.6,9.0,N,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SIANG,0.1,14.9,-99.0,LD,895.9,1192.6,-25.0,D,2026-08-22 06:40:55.934175
2026-08-21,2026-06-01,2026-08-21,district,ARUNACHAL PRADESH,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.2,5.9,-80.0,LD,274.9,677.0,-59.0,D,2026-08-22 06:40:55.934175
